block_idx,time_s,best_prn,best_doppler,best_tau_chips,peak_snr,peak_raw,in_phase_lag,correlation_width,label,label_name
230,0.23,5,5500,798.52,8.455368117742688,769.0864549607506,502.0,4.52,1,spoofed
231,0.231,5,5000,158.96,8.448453416352546,785.8034792201188,383.44000000000005,5.48,1,spoofed
232,0.232,14,6000,74.68,7.957579394067339,746.5060715003705,-84.28,7.36,1,spoofed
233,0.233,29,8500,234.2,8.084684959106104,737.7238450402468,159.51999999999998,6.44,1,spoofed
234,0.234,3,-1500,507.72,8.027368334170342,764.2893836699201,273.52000000000004,6.84,1,spoofed
235,0.23500000000000001,20,7500,388.84,8.744618487734487,797.6290393533419,-118.88000000000005,2.68,1,spoofed
236,0.23600000000000002,32,0,850.48,8.584986199028684,778.3767799097411,461.64000000000004,4.6,1,spoofed
237,0.23700000000000002,3,-2500,66.84,8.203959936515332,766.3370668269563,239.36,4.6,1,spoofed
238,0.23800000000000002,10,-7500,295.12,8.25472725761963,751.9490549748589,228.28,7.12,1,spoofed
239,0.23900000000000002,30,9500,254.52,7.93956817836373,755.5150262639609,-40.599999999999994,8.56,1,spoofed
240,0.24,22,-6500,390.6,7.845432291776746,779.5617842152458,136.08,9.12,1,spoofed
241,0.241,14,-7000,815.68,9.065519306477457,846.5666913042554,425.0799999999999,2.76,1,spoofed
242,0.242,30,1500,243.96,7.914492880061034,759.0912648183029,451.2800000000001,8.12,1,spoofed
243,0.243,5,3500,528.4,8.30464331880268,762.3960976983648,284.43999999999994,6.36,1,spoofed
244,0.244,31,-8500,83.92,7.646229557065982,732.3957044422575,-444.47999999999996,11.0,1,spoofed
245,0.245,14,9000,783.2,8.622575536125519,805.0992486979643,-323.7199999999999,4.48,1,spoofed
246,0.246,7,500,789.24,9.30312407320076,827.2137733695906,6.039999999999964,3.04,1,spoofed
247,0.247,13,-7500,1010.64,8.118004134762428,794.4102192285706,221.39999999999998,6.68,1,spoofed
248,0.248,32,-5500,575.72,8.001925243329662,762.1786521850618,-434.91999999999996,7.72,1,spoofed
249,0.249,12,-2000,979.6,8.754731419651861,841.1522953332018,403.88,3.76,1,spoofed
250,0.25,28,6500,859.12,8.448534676715566,785.4743167396308,-120.48000000000002,5.24,1,spoofed
251,0.251,1,6500,806.32,8.172361416009538,772.7153275784099,-52.799999999999955,7.12,1,spoofed
252,0.252,16,500,883.12,8.761574231738663,793.3184545585242,76.79999999999995,4.88,1,spoofed
253,0.253,29,-9500,244.56,8.821066322111674,828.3429787852757,384.44000000000005,4.28,1,spoofed
254,0.254,4,-6000,801.84,8.801171065594161,804.4835166876348,-465.72,3.52,1,spoofed
255,0.255,13,-6000,984.52,8.08051893103326,760.7296214655854,182.67999999999995,6.84,1,spoofed
256,0.256,27,-2000,827.64,8.032244888304751,725.089209820911,-156.88,7.52,1,spoofed
257,0.257,8,5000,145.88,7.697334862168197,742.7249731455912,341.24,10.04,1,spoofed
258,0.258,11,2000,888.16,7.78789338241172,726.4219663802294,-280.72,8.52,1,spoofed
259,0.259,7,-5000,19.0,8.404546526051002,770.9529187160914,153.84000000000003,4.56,1,spoofed
260,0.26,27,-5000,1017.48,8.803606088223349,814.1436085695483,-24.519999999999982,4.6,1,spoofed
261,0.261,32,-500,775.48,8.267445997052999,764.2138456668087,-242.0,4.12,1,spoofed
262,0.262,3,6000,119.36,8.058578211481969,749.2485534872652,366.88,6.36,1,spoofed
263,0.263,13,3000,269.2,7.669377726936512,713.0720763340987,149.83999999999997,13.52,1,spoofed
264,0.264,25,3500,220.24,9.69011079756754,875.1169529944058,-48.95999999999998,2.24,1,spoofed
265,0.265,29,1000,696.88,7.892094145708104,742.2826169436404,476.64,9.16,1,spoofed
266,0.266,20,-7000,895.76,8.393230886091478,767.5339222057002,198.88,7.08,1,spoofed
267,0.267,4,-1000,462.44,8.19399537859763,767.0758344043,-433.32,6.0,1,spoofed
268,0.268,14,-500,504.24,8.149805603146325,770.6796964232108,41.80000000000001,8.2,1,spoofed
269,0.269,20,-9000,877.8,8.304319471399388,764.958100155452,373.55999999999995,4.88,1,spoofed
270,0.27,8,9500,893.28,8.166018725220464,748.4883642321636,15.480000000000018,6.0,1,spoofed
271,0.271,26,3500,749.48,8.581037994821996,792.4243511732658,-143.79999999999995,4.36,1,spoofed
272,0.272,16,-9000,802.96,7.96293904321246,752.4304465603543,53.48000000000002,8.56,1,spoofed
273,0.273,23,-10000,204.12,7.693372287153767,745.8808523356319,424.15999999999997,10.6,1,spoofed
274,0.274,8,-8500,117.44,7.735164505464003,743.1115497400804,-86.68,9.36,1,spoofed
275,0.275,8,3500,854.8,7.725218330125047,750.227044270521,-285.6400000000001,9.64,1,spoofed
276,0.276,26,-1500,832.28,7.979059218796365,746.8774666182183,-22.519999999999982,8.4,1,spoofed
277,0.277,18,-2500,39.92,8.53484579154773,781.339519349078,230.64,4.8,1,spoofed
278,0.278,13,-7500,15.48,8.895146052229792,834.2057191704837,-24.44,3.2,1,spoofed
279,0.279,27,-5000,820.44,7.734264963783771,749.4081899097133,-218.03999999999996,9.12,1,spoofed
280,0.28,17,-7000,228.2,8.71598388324855,818.4534552822938,430.76,4.08,1,spoofed
281,0.281,32,8500,253.56,7.952325863249958,759.5677990376101,25.360000000000014,8.4,1,spoofed
282,0.28200000000000003,19,8000,886.52,8.225565742958123,759.620993487946,-390.03999999999996,5.44,1,spoofed
283,0.28300000000000003,3,-1000,223.16,9.044110344004078,833.911613584855,359.64,3.64,1,spoofed
284,0.28400000000000003,11,-1000,992.08,7.87182028020302,753.0916654230155,-254.07999999999993,8.32,1,spoofed
285,0.28500000000000003,6,-10000,690.0,7.798337117323525,745.7211080572309,-302.08000000000004,9.36,1,spoofed
286,0.28600000000000003,21,-2000,287.68,8.041783617121547,742.3738652226126,-402.32,10.08,1,spoofed
287,0.28700000000000003,4,-9000,250.08,8.14255024670381,772.3727094901765,-37.599999999999994,7.52,1,spoofed
288,0.28800000000000003,6,-6500,420.6,7.933127037476677,738.0843707844665,170.52,7.76,1,spoofed
289,0.289,16,-4000,547.24,7.847162297705273,726.3953091844137,126.63999999999999,9.2,1,spoofed
290,0.29,23,3500,183.08,7.921598955091181,767.1240056775937,-364.15999999999997,8.6,1,spoofed
291,0.291,7,-9500,303.56,8.586478144500337,854.2320837383778,120.47999999999999,3.68,1,spoofed
292,0.292,19,-8500,901.48,7.866978201773216,753.7153504657393,-425.0799999999999,8.8,1,spoofed
293,0.293,28,-2500,880.04,8.321243198134265,788.2392589916985,-21.440000000000055,6.4,1,spoofed
294,0.294,13,8000,482.4,7.8712674052402765,752.6345855713954,-397.64,9.2,1,spoofed
295,0.295,31,0,768.04,7.978506130629917,752.7059106950516,285.64,7.72,1,spoofed
296,0.296,20,-500,384.96,8.073016923071505,758.1203486001576,-383.08,6.16,1,spoofed
297,0.297,5,0,618.24,8.023753890877158,750.2735554368663,233.28000000000003,7.28,1,spoofed
298,0.298,18,5000,583.48,8.554658820598387,791.9913838822073,-34.75999999999999,4.44,1,spoofed
299,0.299,31,-2500,956.28,8.674268018391658,845.3857599480414,372.79999999999995,3.6,1,spoofed
300,0.3,1,-1500,390.32,8.565903675441886,798.2116203366545,457.03999999999996,4.04,1,spoofed
