block_idx,time_s,best_prn,best_doppler,best_tau_chips,peak_snr,peak_raw,in_phase_lag,correlation_width,label,label_name
198,0.198,30,3500,85.2,8.309043308497289,788.2618092634342,-199.04000000000002,5.2,1,spoofed
30,0.03,22,-3500,433.04,8.252992377923828,832.485135577908,419.88,8.8,0,authentic
365,0.365,11,1000,102.28,8.174147040552475,828.8239399197779,-461.28,6.0,0,authentic
377,0.377,2,-7000,520.88,8.240371108383776,795.8390382687267,-67.51999999999998,5.96,1,spoofed
76,0.076,22,-5500,193.52,7.594601517967357,818.9209604374003,180.48000000000002,9.0,0,authentic
394,0.394,4,-7000,433.84,8.29549399163267,866.0767452066275,318.55999999999995,4.44,0,authentic
54,0.054,28,-10000,1022.76,7.989938599434521,831.2502706760253,-60.120000000000005,8.2,0,authentic
23,0.023,20,-9500,617.04,8.436136767609323,837.8180107542842,280.99999999999994,7.04,0,authentic
388,0.388,32,-4000,939.28,8.808055687046181,815.946179862515,-386.03999999999996,3.64,1,spoofed
444,0.444,17,-9000,85.52,8.136343537604814,859.5201413367339,360.67999999999995,6.0,0,authentic
254,0.254,18,-9000,452.92,8.339610559488776,864.0746798893092,-20.120000000000005,5.84,0,authentic
430,0.43,32,-8000,717.96,7.74673676721158,794.158216676506,167.92000000000007,8.88,0,authentic
107,0.107,23,6000,176.68,7.920395553826883,778.0300086742599,-2.039999999999992,10.04,1,spoofed
40,0.04,10,2500,538.16,8.38904108406534,781.8996128310343,-342.6,5.84,1,spoofed
265,0.265,29,1000,696.88,7.892094145708104,742.2826169436404,476.64,9.16,1,spoofed
158,0.158,9,5000,180.24,8.596369703678919,813.4093189654743,495.88,4.6,0,authentic
456,0.456,18,-1500,16.04,8.743135868256484,831.2604626034356,-180.88,6.36,1,spoofed
142,0.14200000000000002,19,-8500,745.52,8.24816156523457,793.7334300124045,-478.6,5.52,1,spoofed
448,0.448,13,-7000,963.4,8.152741283242156,757.1086705296091,-353.08000000000004,6.76,1,spoofed
27,0.027,23,-4000,871.48,7.900577604921674,754.8749750867448,425.12,7.48,1,spoofed
117,0.117,16,-5500,1002.2,8.085700608806041,755.5037322800634,49.440000000000055,8.68,1,spoofed
328,0.328,29,1500,1021.0,9.465560614328616,850.2317618802297,382.03999999999996,1.52,1,spoofed
21,0.021,13,-6500,138.72,7.794160279326095,740.5764472152248,-331.55999999999995,11.04,1,spoofed
10,0.01,14,-2500,728.44,8.385313270766057,802.5091998896798,-195.7199999999999,5.08,1,spoofed
408,0.40800000000000003,22,6500,171.52,8.624594339044274,924.0329861691431,-408.4,4.32,0,authentic
39,0.039,22,-3500,1006.4,8.260733522784632,855.0134879138608,270.31999999999994,5.24,0,authentic
307,0.307,18,-7000,770.28,8.370531055702434,813.7783922078562,-140.36,6.44,0,authentic
237,0.23700000000000002,3,-2500,66.84,8.203959936515332,766.3370668269563,239.36,4.6,1,spoofed
412,0.41200000000000003,5,-9500,774.08,8.26592204750207,785.0584444849601,432.6,6.6,1,spoofed
479,0.47900000000000004,24,-1000,21.2,8.425842976305262,825.1191705609443,406.76,7.32,0,authentic
66,0.066,23,7500,148.28,8.276951373698944,878.3823221054259,9.240000000000009,7.04,0,authentic
