block_idx,time_s,best_prn,best_doppler,best_tau_chips,peak_snr,peak_raw,in_phase_lag,correlation_width,label,label_name
172,0.17200000000000001,13,-9000,586.04,8.008872738287984,786.1189070468758,-475.88,7.56,0,authentic
173,0.17300000000000001,29,-7500,338.48,8.432085970180442,793.0145833031014,-247.55999999999995,6.28,0,authentic
174,0.17400000000000002,6,6500,771.92,7.978829627915733,766.1482668829524,433.43999999999994,9.68,0,authentic
175,0.17500000000000002,11,5000,73.88,8.229001925268093,810.8738387817258,324.96000000000004,5.28,0,authentic
176,0.176,31,3500,767.84,8.14044477398206,798.7871254557232,-329.03999999999996,6.48,0,authentic
177,0.177,7,-4500,24.28,9.089177188988499,859.560049419447,279.43999999999994,2.52,0,authentic
178,0.178,16,-4500,22.2,8.543164643273165,840.0329862461975,-2.080000000000002,4.52,0,authentic
179,0.179,13,3000,632.24,8.516975211257588,809.1171021906036,-412.96000000000004,3.84,0,authentic
180,0.18,32,-4000,571.08,8.41192444086166,813.4664477253486,-61.15999999999997,6.68,0,authentic
181,0.181,28,5000,507.64,7.622442581310931,756.3067772295395,-63.440000000000055,8.76,0,authentic
182,0.182,2,-7000,939.4,8.46201606675429,827.7504508121333,431.76,4.32,0,authentic
183,0.183,8,-3500,547.16,8.578261072779569,807.0295233871178,-392.24,5.68,0,authentic
184,0.184,19,-6000,94.48,9.119886011398242,860.178827898227,-452.67999999999995,2.24,0,authentic
185,0.185,20,-7000,46.88,7.98353135795556,786.7545967610383,-47.6,8.48,0,authentic
186,0.186,22,-8500,738.08,7.553393253296776,753.0732381246938,-331.79999999999995,10.92,0,authentic
187,0.187,21,8000,793.52,8.26783965824877,791.5731677720189,55.43999999999994,5.76,0,authentic
188,0.188,29,-5500,974.64,7.682390363027537,778.0706476212688,181.12,9.68,0,authentic
189,0.189,29,1000,276.72,8.337105314947975,814.5826395227915,325.08000000000004,3.96,0,authentic
190,0.19,10,8000,758.04,8.000786840148029,780.252770742021,481.31999999999994,8.68,0,authentic
191,0.191,7,-1000,293.08,8.264397183364018,776.044433131086,-464.96,5.88,0,authentic
192,0.192,3,-9000,209.96,8.010370414805667,784.4393661761388,-83.11999999999998,7.64,0,authentic
193,0.193,9,0,647.44,8.276964377749577,807.8393602403687,437.48,4.52,0,authentic
194,0.194,22,-2500,388.0,8.057716871184413,811.6967450175225,-259.44000000000005,6.48,0,authentic
195,0.195,5,9000,939.28,8.037770566145838,796.46669982472,-471.72,8.32,0,authentic
196,0.196,14,-6000,767.68,7.784528687271417,819.0332611375195,-171.60000000000002,7.96,0,authentic
197,0.197,12,-8000,46.4,8.617684669224813,884.1487722876973,301.72,4.72,0,authentic
198,0.198,31,-1500,457.76,8.801021888208137,873.6972569569816,411.36,3.52,0,authentic
199,0.199,10,-1000,688.6,8.885960804244924,925.9898859213462,230.84000000000003,3.16,0,authentic
200,0.2,10,-8500,708.72,8.365693671364937,868.516323800074,20.120000000000005,5.56,0,authentic
201,0.201,7,-9500,908.88,8.001093585034829,846.0339173474985,200.15999999999997,8.88,0,authentic
202,0.202,25,10000,574.8,7.929719924050541,816.1634011085191,-334.08000000000004,6.64,0,authentic
203,0.203,13,-500,371.32,8.299190815654901,856.9870122922596,-203.47999999999996,4.52,0,authentic
204,0.20400000000000001,5,-10000,651.68,8.297388375770423,831.2962121976669,280.35999999999996,4.6,0,authentic
205,0.20500000000000002,20,6000,837.48,8.697110781644032,932.2856674485644,185.80000000000007,3.04,0,authentic
206,0.20600000000000002,25,4500,150.2,8.106701027303169,808.6412120002182,335.72,7.0,0,authentic
207,0.20700000000000002,15,500,433.2,8.156338306106482,843.0742170856076,283.0,5.64,0,authentic
208,0.20800000000000002,28,-3000,431.92,7.995404461582133,820.0268722478651,-1.2799999999999727,8.28,0,authentic
209,0.209,22,7500,977.52,8.513963928784158,886.1488786871462,-477.4000000000001,5.72,0,authentic
210,0.21,30,-10000,454.68,8.082414729282586,823.4389300337735,500.1600000000001,8.52,0,authentic
211,0.211,13,-3500,457.88,8.889078326688761,907.4185088982919,3.1999999999999886,4.2,0,authentic
212,0.212,3,9000,371.8,8.350073823820113,825.1687829943087,-86.07999999999998,6.56,0,authentic
213,0.213,17,-2000,228.24,8.580540252820446,837.5924871367326,-143.56,3.4,0,authentic
214,0.214,3,-500,872.36,8.520917789214657,838.7449838208033,-378.88,4.44,0,authentic
215,0.215,30,-3500,630.88,7.894037126495748,799.4606657110132,-241.48000000000002,7.44,0,authentic
216,0.216,6,-1500,407.88,8.349524250743116,841.6054070237928,-223.0,4.52,0,authentic
217,0.217,15,3000,808.16,7.763338573603789,756.2858896657532,400.28,13.04,0,authentic
218,0.218,9,-5000,72.84,7.996375577182228,805.165114526689,287.68000000000006,7.72,0,authentic
219,0.219,25,-500,651.12,8.301997153429136,788.8898356421289,-444.72,7.44,0,authentic
220,0.22,19,1500,635.36,7.7124770198135675,772.549972567886,-15.759999999999991,8.84,0,authentic
221,0.221,13,7500,654.24,7.990932053886003,773.3772126967199,18.879999999999995,8.52,0,authentic
